X	Y	T	NOAA NCEP CPC GMSM w
degree_east	degree_north	months since 1960-01-01	mm
   -91.25000    	    42.25000    	    273.5000    	    438.2494    
   -95.75000    	    42.75000    	    273.5000    	    420.4749    
   -95.25000    	    42.75000    	    273.5000    	    497.4023    
   -94.75000    	    42.75000    	    273.5000    	    469.9873    
   -94.25000    	    42.75000    	    273.5000    	    440.0456    
   -93.75000    	    42.75000    	    273.5000    	    443.3786    
   -93.25000    	    42.75000    	    273.5000    	    439.6292    
   -92.75000    	    42.75000    	    273.5000    	    425.3246    
   -92.25000    	    42.75000    	    273.5000    	    423.7905    
   -91.75000    	    42.75000    	    273.5000    	    433.7516    
   -91.25000    	    42.75000    	    273.5000    	    404.2382    
   -95.75000    	    43.25000    	    273.5000    	    442.5959    
   -95.25000    	    43.25000    	    273.5000    	    482.1202    
   -94.75000    	    43.25000    	    273.5000    	    494.8446    
   -94.25000    	    43.25000    	    273.5000    	    453.8241    
   -93.75000    	    43.25000    	    273.5000    	    437.5743    
   -93.25000    	    43.25000    	    273.5000    	    460.0649    
   -92.75000    	    43.25000    	    273.5000    	    454.2578    
   -92.25000    	    43.25000    	    273.5000    	    446.0251    
   -91.75000    	    43.25000    	    273.5000    	    428.7353    
   -91.25000    	    43.25000    	    273.5000    	    394.3709    
   -95.75000    	    40.25000    	    274.5000    	    404.8721    
   -95.25000    	    40.25000    	    274.5000    	    439.4033    
   -94.75000    	    40.25000    	    274.5000    	    498.6988    
   -94.25000    	    40.25000    	    274.5000    	    503.5594    
   -93.75000    	    40.25000    	    274.5000    	    522.5316    
   -93.25000    	    40.25000    	    274.5000    	    533.3273    
   -92.75000    	    40.25000    	    274.5000    	    528.6774    
   -92.25000    	    40.25000    	    274.5000    	    487.4113    
   -91.75000    	    40.25000    	    274.5000    	    436.2313    
   -91.25000    	    40.25000    	    274.5000    	    434.3578    
   -95.75000    	    40.75000    	    274.5000    	    399.4706    
   -95.25000    	    40.75000    	    274.5000    	    448.6112    
   -94.75000    	    40.75000    	    274.5000    	    504.7835    
   -94.25000    	    40.75000    	    274.5000    	    511.9771    
   -93.75000    	    40.75000    	    274.5000    	    524.5372    
   -93.25000    	    40.75000    	    274.5000    	    533.7417    
   -92.75000    	    40.75000    	    274.5000    	    513.1196    
   -92.25000    	    40.75000    	    274.5000    	    476.6903    
   -91.75000    	    40.75000    	    274.5000    	    458.3578    
   -91.25000    	    40.75000    	    274.5000    	    458.2996    
   -95.75000    	    41.25000    	    274.5000    	    417.5055    
   -95.25000    	    41.25000    	    274.5000    	    448.8258    
   -94.75000    	    41.25000    	    274.5000    	    479.0540    
   -94.25000    	    41.25000    	    274.5000    	    482.2020    
   -93.75000    	    41.25000    	    274.5000    	    501.3464    
   -93.25000    	    41.25000    	    274.5000    	    522.7444    
   -92.75000    	    41.25000    	    274.5000    	    511.3476    
   -92.25000    	    41.25000    	    274.5000    	    479.9874    
   -91.75000    	    41.25000    	    274.5000    	    454.6086    
   -91.25000    	    41.25000    	    274.5000    	    456.3345    
   -95.75000    	    41.75000    	    274.5000    	    452.0539    
   -95.25000    	    41.75000    	    274.5000    	    451.0847    
   -94.75000    	    41.75000    	    274.5000    	    457.4999    
   -94.25000    	    41.75000    	    274.5000    	    459.9192    
   -93.75000    	    41.75000    	    274.5000    	    465.4280    
   -93.25000    	    41.75000    	    274.5000    	    478.7760    
   -92.75000    	    41.75000    	    274.5000    	    490.2216    
   -92.25000    	    41.75000    	    274.5000    	    457.2225    
   -91.75000    	    41.75000    	    274.5000    	    467.8694    
   -91.25000    	    41.75000    	    274.5000    	    467.8727    
   -95.75000    	    42.25000    	    274.5000    	    463.2910    
   -95.25000    	    42.25000    	    274.5000    	    492.4367    
   -94.75000    	    42.25000    	    274.5000    	    475.2454    
   -94.25000    	    42.25000    	    274.5000    	    463.4804    
   -93.75000    	    42.25000    	    274.5000    	    467.6421    
   -93.25000    	    42.25000    	    274.5000    	    475.3872    
   -92.75000    	    42.25000    	    274.5000    	    464.9758    
   -92.25000    	    42.25000    	    274.5000    	    446.6839    
